agency,description,name,price
Wms Management Services,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,221'}",4071 E Weston Lane That Portion Of Parcel 11 Of Sun Valley Farms Unit,"$1,100,000"
"Queen Valley Properties, Inc.","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,740'}",2952 E Silver Tip Road S24 T1s R10e,"$1,300,000"
Sonoran Properties Associates,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,681'}",17922 E Vista Desierto Trilogy At Verde River,"$1,475,000"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,670'}",37262 N Sierra Vista Drive Commencing At The Northeast Corner Of Section 34 T,"$1,100,000"
Keller Williams Integrity First,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,057'}",1900 W Running Deer Road S4 T2s R10e,"$827,000"
Keller Williams Realty East Valley,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,304'}",36480 N Crucillo Drive Shea Homes At Johnson Farms Neighborhood 2,"$1,100,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,614'}",972 N Sherwood Way Queen Valley Estates Unit Two,"$529,500"
Hague Partners,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,057'}",230 E Madeline Drive Queen Valley Estates Unit Three,"$375,000"
Hague Partners,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,249'}",108 N Etta Drive Queen Valley Estates Unit Three,"$230,000"
"Balboa Realty, Llc","{'Beds': '7', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,819'}",20623 E Cloud Road Pecan Lights,"$4,000,000"
Realty One Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,171'}",62 W Sahuaro Drive Lakeview Park No. 1,"$159,000"
"Balboa Realty, Llc","{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,665'}",24568 S 204th Way Pecan Lights,"$3,499,900"
"Queen Valley Properties, Inc.","{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '729'}",362 W Monte Vista Drive Lakeview Park No. 2 Amd,"$149,500"
Ct Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,582'}",20523 E Via De Palmas Pecans Phase 1,"$3,199,000"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,068'}",11253 W Golddust Drive Santo Vallarta,"$3,000,000"
Network Realty,"{'Beds': '8', 'Baths': '5', 'Sq.Ft.': '5,100'}",XXXX E Country Meadows Court Picket Post,"$2,998,359"
West Usa Realty,"{'Beds': '6', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,313'}",19912 E Natalie Way Whitewing At Whisper Ranch,"$2,750,000"
Homesmart,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,784'}",19868 E Vallejo Street Whitewing At Whisper Ranch,"$2,400,000"
Realty One Group,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,758'}",28510 N Cibola Circle San Tan Ranches Unit 6,"$2,299,999"
Stratton Vantage Property Management,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,628'}",10803 W Dove Roost Road Santo Vallarta,"$2,200,000"
"Isham Real Estate Group, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,898'}",19896 E Vallejo Street Whitewing At Whisper Ranch,"$2,190,000"
Homesmart Success,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,575'}",21640 S Hawes Road N/A,"$1,990,000"
Toll Brothers Real Estate,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,907'}",19952 E Melissa Place Whitewing At Whisper Ranch,"$1,949,995"
National Realty Of Arizona,"{'Beds': '3', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '2,644'}",9033 N Barn Wood Dr Saddle View,"$899,000"
Homesmart Fine Homes And Land,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,506'}",3486 N Christine Dr Prescott Valley Unit #12,"$460,000"
Exp Realty- Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,668'}",6182 E Colby St Granville,"$524,900"
West Usa Realty Of Prescott,"{'Beds': '3', 'Baths': '1 F 2 3/4', 'Sq.Ft.': '1,484'}",5284 N Mesquite Dr Prescott Valley 15,"$439,900"
Mingus Mountain Real Estate,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '981'}",4012 N Jay Ct Prescott Valley 3,"$95,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,882'}",7047 N Lucky Shoe Way Pronghorn Ranch,"$975,000"
Evermore Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,148'}",8591 N. Suzanna Dr Morningstar,"$599,700"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,121'}",6280 E Antelope Ln Prescott East 3,"$299,000"
Opendoor Brokerage,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,483'}",6670 E Mayflower Ln Granville 1,"$601,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,145'}",4484 N Romero Circle Prescott Valley 5,"$240,000"
Realty One Group Mtn Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,296'}",8500 E Tranquil Blvd Prescott Valley Unit #9,"$375,000"
Berkshire Hathaway Homeservices Prescott,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,886'}",7539 E Roaring Canyon Rd Pronghorn Ranch Unit 12,"$520,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,146'}",481 S Paintbrush Road Rendezvous Unit Two At Torreon,"$930,000"
"Sierra Vista Realty, Inc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,907'}",21305 W Restin Road None,"$1,800,000"
Mountain Retreat Realty Expert,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,796'}",1620 N 36th Circle Country Club Manor Unit 2,"$905,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,949'}",22544 W Barwick Drive Metes And Bounds,"$1,450,000"
